Y,Y_DEXLANSOPRAZOLE,Y_ESOMEPRAZOLE,Y_LANSOPRAZOLE,Y_OMEPRAZOLE,Y_PANTOPRAZOLE,Y_RABEPRAZOLE,Y_PPI_IV,T,D,P
187028,0,44319,14214,57633,67688,3175,610,1,0,0
173150,0,39586,14013,54877,61627,3047,628,2,0,0
201020,0,44871,16507,64161,71833,3648,828,3,0,0
191096,0,44493,15118,60282,67798,3405,684,4,0,0
189767,0,41523,15585,61281,68091,3287,647,5,0,0
204609,0,45827,17233,65112,72918,3518,729,6,0,0
194499,0,42590,16099,62435,70030,3345,763,7,0,0
188726,0,42804,14957,59125,68887,2952,785,8,0,0
215349,0,55211,16723,63997,75898,3519,610,9,0,0
213751,0,51338,17099,61502,80349,3462,662,10,0,0
243921,0,77764,17939,64603,80051,3564,771,11,0,0
234914,0,49236,19913,71709,90163,3892,703,12,0,0
164908,0,33882,13720,48321,66472,2514,686,13,0,0
198783,0,40891,14885,55069,85014,2923,753,14,0,0
273205,0,72181,20174,72003,104814,4033,690,15,0,0
201922,0,45181,15792,59715,78153,3081,781,16,0,0
247208,0,56744,16733,60330,110114,3286,614,17,0,0
277965,0,59497,17422,64112,133466,3468,903,18,0,0
209078,0,40762,14324,53663,97249,3081,700,19,0,0
214863,0,42619,14697,54576,99898,3072,633,20,0,0
230237,0,43120,14931,60034,108856,3296,756,21,0,0
214157,0,44459,14143,54361,98011,3183,548,22,0,0
245456,0,48641,16979,66466,110073,3298,1235,23,0,0
297991,0,60676,17009,65556,150862,3888,880,24,0,0
217674,0,44850,12396,49960,107347,3121,785,25,0,0
198445,0,41305,12094,47015,95150,2881,532,26,0,0
262070,0,63298,14020,61899,119742,3113,785,27,0,0
233083,0,45887,12120,48090,123950,3036,654,28,0,0
235937,0,47834,13344,51732,119942,3086,494,29,0,0
224455,0,47928,13992,51127,108261,3147,706,30,0,0
233856,0,44013,12650,46585,127791,2817,585,31,0,0
222644,0,46737,12657,49510,110920,2819,720,32,0,0
243397,0,48479,12645,51697,127750,2826,719,33,0,0
238058,0,47465,13045,51760,123025,2762,636,34,0,0
262402,0,57998,14318,55168,131621,3298,878,35,0,0
297893,0,69173,14157,55456,155828,3278,767,36,0,0
225216,0,44250,11371,44184,122916,2495,714,37,0,0
225105,0,45415,11260,44729,121097,2604,776,38,0,0
273532,0,52256,12683,50355,155415,2823,759,39,0,0
231470,0,46446,11729,46342,124346,2607,644,40,0,0
246697,0,50254,11902,47147,134623,2770,671,41,0,0
291220,0,73439,11666,50337,153090,2688,864,42,0,0
266430,0,53086,11780,46456,152527,2581,649,43,0,0
257105,0,50866,10912,45097,147627,2603,563,44,0,0
236689,0,49978,10627,44339,129278,2467,619,45,0,0
276921,0,55893,11813,49957,156565,2693,833,46,0,0
314340,0,66147,13460,56111,175433,3188,893,47,0,0
291915,0,60729,12940,53320,161745,3181,546,48,0,0
280728,0,69398,10685,46996,151155,2493,803,49,0,0
234118,0,45183,9989,40486,136245,2215,807,50,0,0
272933,0,50985,10577,43689,165105,2577,683,51,0,0
275186,0,51526,11501,48295,161334,2531,898,52,0,0
308002,0,77935,12213,50565,164624,2665,649,53,0,0
288103,0,54764,10293,49254,171314,2478,609,54,0,0
279957,0,54151,10974,45389,166840,2603,895,55,0,0
250799,0,51439,10169,40474,146423,2293,579,56,0,0
290601,0,69455,10135,42761,165854,2397,843,57,0,0
287361,0,55894,10565,44632,173739,2532,720,58,0,0
296708,0,60276,11234,48750,173672,2776,744,59,0,0
323084,0,65753,12108,50032,192308,2883,747,60,0,0
281551,0,66051,9609,39270,164306,2315,729,61,0,0
256181,0,50121,8880,38209,156747,2223,779,62,0,0
288480,0,54897,10171,45019,175786,2607,804,63,0,0
294466,0,55711,10595,45744,179955,2461,586,64,0,0
307118,0,71939,10716,43175,178813,2476,777,65,0,0
287194,0,59140,10656,42739,172156,2503,732,66,1,1
291107,61,54074,10330,42791,181199,2654,843,67,1,2
255640,101,48357,8756,37417,158831,2178,641,68,1,3
308462,177,59887,9918,41867,194037,2575,651,69,1,4
309354,315,65058,10006,41987,189476,2512,851,70,1,5
301256,407,59575,10281,45909,182529,2556,650,71,1,6
349560,476,69271,11516,50106,214984,3207,807,72,1,7
329404,493,82039,9684,41242,193674,2272,689,73,1,8
275287,610,57212,9126,38167,168010,2162,884,74,1,9
311669,899,63134,9806,42645,192679,2505,617,75,1,10
280494,928,57288,8741,38012,173146,2379,791,76,1,11
285754,1085,57837,8937,37472,178123,2300,643,77,1,12
329805,1366,83108,9904,41504,191350,2573,822,78,1,13
288987,1190,55159,8631,37634,184032,2340,809,79,1,14
275874,1258,52889,8260,37418,173765,2284,633,80,1,15
328220,1554,62877,9873,44116,207427,2373,912,81,1,16
301940,1589,59889,9291,39329,189541,2301,692,82,1,17
311724,1823,60505,9459,41386,196050,2499,693,83,1,18
373245,2133,93862,10222,46622,217565,2841,769,84,1,19
268347,1694,48190,7516,33271,175249,2427,777,85,1,20
282552,2006,56563,7878,34223,179793,2089,711,86,1,21
313299,2214,64502,8642,40514,195135,2292,635,87,1,22
317703,2204,79581,8172,37047,188292,2407,893,88,1,23
301418,2206,57748,8608,38111,192312,2433,629,89,1,24
321739,2343,61749,8741,40668,205801,2436,654,90,1,25
275048,2089,52974,7991,33271,176517,2206,663,91,1,26
318484,2221,83235,7912,35594,187331,2190,732,92,1,27
305173,2369,58231,8098,36988,197109,2378,760,93,1,28
293248,2384,53883,8240,36201,190345,2196,584,94,1,29
332952,2627,71330,8567,39608,208253,2566,766,95,1,30
354545,3007,75690,9445,42946,220731,2726,748,96,1,31
287410,2304,61481,7049,31989,182544,2043,729,97,1,32
267712,2456,51670,6672,29295,175669,1951,536,98,1,33
316853,2717,70794,7801,36702,196356,2482,914,99,1,34
266803,2698,51527,7261,30956,172287,2074,603,100,1,35
312833,3132,61860,7903,35134,202410,2394,677,101,1,36
322875,2782,78071,7361,35106,197285,2270,592,102,1,37
276396,2747,55474,7216,31229,177335,2394,746,103,1,38
281391,2775,53370,7028,32166,183912,2142,627,104,1,39
292025,3002,59763,7059,30487,189617,2098,589,105,1,40
303953,2899,66356,7478,32850,192128,2242,709,106,1,41
321515,3279,67748,7973,35023,205274,2218,686,107,1,42
316494,3775,63150,8247,34484,204244,2595,572,108,1,43
288466,3163,54409,6604,26683,195274,2333,873,109,1,44
289929,2961,60252,6685,29416,188485,2131,625,110,1,45
313804,3579,63962,7001,36804,200131,2327,750,111,1,46
280376,3157,55171,6623,30995,182297,2133,623,112,1,47
309844,3891,59849,6850,31842,205148,2264,629,113,1,48
313222,3690,68903,7393,31162,199860,2213,443,114,1,49
287472,3183,54252,6580,29254,191834,2371,903,115,1,50
289085,3423,57578,6619,29284,190082,2099,588,116,1,51
293539,3530,65326,6070,28992,187553,2068,687,117,1,52
321176,3577,66515,7050,33547,208200,2288,627,118,1,53
322847,4386,61701,6725,32533,215191,2312,644,119,1,54
337162,4453,67590,7755,33960,220497,2908,616,120,1,55
287384,3706,56435,6230,27421,191561,2030,821,121,1,56
264402,3448,51371,5618,25735,176269,1962,638,122,1,57
300705,3417,58450,6311,29540,200782,2204,619,123,1,58
298618,3254,57816,6278,28224,200855,2192,777,124,1,59
